status,count,percentage
200,79508,40.0165%
202,3,0.0015%
301,93459,47.0381%
302,5338,2.6866%
303,72,0.0362%
307,81,0.0408%
308,403,0.2028%
400,23,0.0116%
401,33,0.0166%
402,1,0.0005%
403,11634,5.8554%
404,1400,0.7046%
405,15,0.0075%
409,52,0.0262%
410,3,0.0015%
429,41,0.0206%
451,2,0.001%
500,196,0.0986%
502,21,0.0106%
503,119,0.0599%
504,5,0.0025%
520,1,0.0005%
521,2,0.001%
522,14,0.007%
526,3,0.0015%
530,3,0.0015%
Failed,1,0.0005%
Failed aborted,112,0.0564%
Failed content_encoding,1,0.0005%
Failed exceeded_redirects,38,0.0191%
Failed retry_exceed,4704,2.3675%
Failed timeout,1400,0.7046%
total,198688,
